DATE,Sample,Peak#,Ret.Time,Proc.From,Proc.To,Mass,Area,Height,A/H,Conc.,Mark,Name
16-Nov,3B,11,10.269,10.242,10.291,TIC,30153,21812,1.38,0.04,MI ,alpha.humulene
16-Nov,3B,12,10.584,10.556,10.614,TIC,96514,68430,1.41,0.13,MI ,germacrene.D
16-Nov,3B,13,10.674,10.653,10.692,TIC,22733,15997,1.42,0.03,MI ,unknown.C15H24.2
16-Nov,3B,14,10.924,10.9,10.953,TIC,108930,81086,1.34,0.15,MI ,gamma.cadinene
16-Nov,3B,15,10.966,10.953,10.982,TIC,19887,20323,0.97,0.03,MI ,unknown.C15H24.3
16-Nov,3B,16,11.214,11.204,11.223,TIC,7969,11964,0.66,0.01,MI ,methyl.salicylate
16-Nov,4A,1,3.506,3.447,3.606,TIC,3157890,1589359,1.98,8.55,MI ,alpha.pinene
16-Nov,4A,2,4.473,4.437,4.582,TIC,204971,85616,2.39,0.56,MI ,beta.pinene
16-Nov,4A,3,4.684,4.66,4.713,TIC,13401,10537,1.27,0.04,MI ,sabinene
16-Nov,4A,4,5.251,5.216,5.278,TIC,165544,83628,1.97,0.45,MI ,beta.myrcene
16-Nov,4A,5,5.422,5.394,5.457,TIC,27062,18899,1.43,0.07,MI ,alpha.terpinene
16-Nov,4A,6,5.66,5.626,5.708,TIC,96854,50399,1.92,0.26,MI ,limonene
16-Nov,4A,7,5.772,5.747,5.796,TIC,19099,11155,1.71,0.05,MI ,beta.phellandrene
16-Nov,4A,8,6.075,6.047,6.139,TIC,381424,223302,1.7,1.03,MI ,cis.beta.ocimene
16-Nov,4A,9,6.274,6.168,6.501,TIC,14948601,9815057,1.52,40.48,MI ,trans.beta.ocimene
16-Nov,4A,10,6.78,6.748,6.849,TIC,102378,51302,1.99,0.28,MI ,acetoin
16-Nov,4A,11,7.014,6.97,7.062,TIC,17541487,12676066,1.38,47.5,MI ,cis.3.hexenyl.acetate
16-Nov,4A,13,7.699,7.676,7.734,TIC,170057,129089,1.31,0.46,MI ,cis.3.hexen.1.ol
16-Nov,4A,14,9.487,9.464,9.512,TIC,17218,13731,1.25,0.05,MI ,bergamotene
16-Nov,4A,15,11.219,11.19,11.243,TIC,35274,21325,1.65,0.1,MI ,methyl.salicylate
16-Nov,4B,1,3.516,3.461,3.611,TIC,1409692,695869,2.02,4.46,MI ,alpha.pinene
16-Nov,4B,2,4.499,4.466,4.539,TIC,85965,39631,2.16,0.27,MI ,beta.pinene
16-Nov,4B,3,5.255,5.22,5.278,TIC,96957,55398,1.75,0.31,MI ,beta.myrcene
16-Nov,4B,4,5.432,5.404,5.457,TIC,23601,14802,1.59,0.07,MI ,alpha.terpinene
16-Nov,4B,5,5.663,5.641,5.689,TIC,51301,29318,1.74,0.16,MI ,limonene
16-Nov,4B,6,5.777,5.747,5.8,TIC,10845,7903,1.37,0.03,MI ,beta.phellandrene
16-Nov,4B,7,6.079,6.047,6.119,TIC,288943,183004,1.57,0.91,MI ,cis.beta.ocimene
16-Nov,4B,8,6.275,6.182,6.482,TIC,13129097,8568304,1.53,41.49,MI ,trans.beta.ocimene
16-Nov,4B,9,6.784,6.753,6.815,TIC,74904,42643,1.75,0.24,MI ,acetoin
16-Nov,4B,10,7.015,6.97,7.212,TIC,16299650,11797137,1.38,51.51,MI ,cis.3.hexenyl.acetate
16-Nov,4B,11,7.699,7.661,7.734,TIC,158920,103396,1.53,0.5,MI ,cis.3.hexen.1.ol
16-Nov,4B,12,9.492,9.459,9.512,TIC,10978,8220,1.33,0.03,MI ,bergamotene
17-Nov,5A,1,5.239,5.201,5.293,TIC,232522,113651,2.04,2.27,MI ,beta.myrcene
17-Nov,5A,2,5.648,5.622,5.675,TIC,40929,29400,1.39,0.4,MI ,limonene
17-Nov,5A,3,6.061,6.013,6.1,TIC,124226,84271,1.47,1.21,MI ,cis.beta.ocimene
17-Nov,5A,4,6.254,6.202,6.337,TIC,5539869,3638095,1.52,54.06,MI ,trans.beta.ocimene
17-Nov,5A,5,6.834,6.801,6.878,TIC,773060,514868,1.5,7.54,MI ,cis.DMNT
17-Nov,5A,6,6.994,6.97,7.018,TIC,69338,56779,1.22,0.68,MI ,cis.3.hexenyl.acetate
17-Nov,5A,8,7.683,7.647,7.719,TIC,143515,101087,1.41,1.4,MI ,cis.3.hexen.1.ol
17-Nov,5A,9,9.466,9.425,9.508,TIC,157138,103226,1.52,1.53,MI ,bergamotene
17-Nov,5A,10,9.632,9.58,9.681,TIC,1786510,1179436,1.51,17.43,MI ,trans.beta.caryophyllene
17-Nov,5A,11,10.253,10.223,10.295,TIC,330375,184543,1.79,3.22,MI ,alpha.humulene
17-Nov,5A,12,10.403,10.363,10.44,TIC,394341,274995,1.43,3.85,MI ,beta.cadinene
17-Nov,5A,13,10.636,10.6,10.658,TIC,75983,48658,1.56,0.74,MI ,germacrene.D
17-Nov,5A,14,11.009,10.972,11.049,TIC,81367,53180,1.53,0.79,MI ,unknown.C15H24.3
17-Nov,5A,15,11.886,11.857,11.915,TIC,96279,74670,1.28,0.94,MI ,benzyl.alcohol
17-Nov,5A,16,14.35,14.317,14.399,TIC,349817,242504,1.44,3.41,MI ,intermedeol
17-Nov,5B,1,5.244,5.211,5.269,TIC,21536,15628,1.37,2.16,MI ,beta.myrcene
17-Nov,5B,2,6.061,6.042,6.09,TIC,10983,13374,0.82,1.1,MI ,cis.beta.ocimene
17-Nov,5B,3,6.251,6.211,6.308,TIC,604323,405707,1.48,60.59,MI ,trans.beta.ocimene
17-Nov,5B,4,6.764,6.738,6.849,TIC,225406,141288,1.59,22.6,MI ,acetoin
17-Nov,5B,6,9.463,9.459,9.483,TIC,12247,12048,1.01,1.23,MI ,bergamotene
17-Nov,6A,1,3.495,3.485,3.514,TIC,9728,8404,1.15,0.7,MI ,alpha.pinene
17-Nov,6A,2,5.607,5.593,5.631,TIC,16996,11670,1.45,1.22,MI ,limonene
17-Nov,6A,3,6.041,6.032,6.052,TIC,4112,4859,0.84,0.29,MI ,cis.beta.ocimene
17-Nov,6A,4,6.234,6.202,6.279,TIC,240031,151883,1.58,17.19,MI ,trans.beta.ocimene
17-Nov,6A,5,6.77,6.733,6.811,TIC,255870,160257,1.59,18.33,MI ,acetoin
17-Nov,6A,6,6.988,6.941,7.028,TIC,157458,96377,1.63,11.28,MI ,cis.3.hexenyl.acetate
17-Nov,6A,7,7.684,7.647,7.71,TIC,137121,99844,1.37,9.82,MI ,cis.3.hexen.1.ol
17-Nov,6A,8,10.404,10.368,10.445,TIC,191452,137694,1.39,13.71,MI ,beta.cadinene
17-Nov,6A,9,10.632,10.605,10.663,TIC,39476,25654,1.53,2.83,MI ,germacrene.D
17-Nov,6A,10,11.009,10.977,11.03,TIC,45546,37742,1.2,3.26,MI ,unknown.C15H24.3
17-Nov,6A,11,11.886,11.857,11.915,TIC,24447,16568,1.47,1.75,MI ,benzyl.alcohol
17-Nov,6A,12,14.348,14.312,14.384,TIC,273988,177869,1.54,19.62,MI ,intermedeol
17-Nov,6B,1,3.481,3.437,3.514,TIC,20623,11654,1.76,1.06,MI ,alpha.pinene
17-Nov,6B,2,5.234,5.196,5.249,TIC,19951,12706,1.57,1.02,MI ,beta.myrcene
17-Nov,6B,3,5.641,5.607,5.675,TIC,19344,14410,1.34,0.99,MI ,limonene
17-Nov,6B,4,6.058,6.042,6.09,TIC,23068,14216,1.62,1.18,MI ,cis.beta.ocimene
17-Nov,6B,5,6.249,6.197,6.289,TIC,554027,356048,1.55,28.37,MI ,trans.beta.ocimene
17-Nov,6B,6,6.763,6.733,6.806,TIC,137733,85126,1.61,7.05,MI ,acetoin
17-Nov,6B,7,6.835,6.811,6.893,TIC,63826,30125,2.11,3.27,MI ,cis.DMNT
17-Nov,6B,8,6.992,6.941,7.038,TIC,305563,196593,1.55,15.65,MI ,cis.3.hexenyl.acetate
17-Nov,6B,9,7.685,7.652,7.714,TIC,186626,129233,1.44,9.56,MI ,cis.3.hexen.1.ol
17-Nov,6B,10,10.404,10.368,10.436,TIC,305529,196692,1.55,15.65,MI ,beta.cadinene
17-Nov,6B,11,10.637,10.614,10.653,TIC,53421,36677,1.45,2.74,MI ,germacrene.D
17-Nov,6B,12,11.009,10.987,11.02,TIC,62932,49544,1.27,3.22,MI ,unknown.C15H24.3
17-Nov,6B,13,14.349,14.331,14.375,TIC,200222,139083,1.43,10.25,MI ,intermedeol
17-Nov,7A,1,5.266,5.225,5.293,TIC,305922,178613,1.71,0.18,MI ,beta.myrcene
17-Nov,7A,2,5.435,5.394,5.467,TIC,74891,52886,1.41,0.04,MI ,alpha.terpinene
17-Nov,7A,3,6.091,6.057,6.158,TIC,1366528,757369,1.8,0.79,MI ,cis.beta.ocimene
17-Nov,7A,4,6.315,6.221,6.496,TIC,72799216,36148440,2.01,42.07,MI ,trans.beta.ocimene
17-Nov,7A,5,6.793,6.772,6.811,TIC,47055,27866,1.68,0.03,MI ,acetoin
17-Nov,7A,6,7.055,6.975,7.159,TIC,96953031,46707202,2.07,56.03,MI ,cis.3.hexenyl.acetate
17-Nov,7A,7,7.707,7.647,7.743,TIC,1487242,1019707,1.45,0.86,MI ,cis.3.hexen.1.ol
17-Nov,7A,8,11.224,11.214,11.248,TIC,14933,17187,0.86,0.01,MI ,methyl.salicylate
17-Nov,7B,1,5.26,5.23,5.283,TIC,17029,12459,1.36,0.38,MI ,beta.myrcene
17-Nov,7B,2,6.082,6.057,6.115,TIC,89688,62939,1.42,1.98,MI ,cis.beta.ocimene
17-Nov,7B,3,6.277,6.235,6.347,TIC,4076188,2739091,1.48,90.03,MI ,trans.beta.ocimene
17-Nov,7B,4,6.791,6.767,6.835,TIC,53870,34243,1.57,1.19,MI ,acetoin
17-Nov,7B,5,7.017,6.97,7.057,TIC,243216,164872,1.47,5.37,MI ,cis.3.hexenyl.acetate
17-Nov,8A,1,3.529,3.5,3.553,TIC,10611,6459,1.64,0.84,MI ,alpha.pinene
17-Nov,8A,2,6.09,6.061,6.115,TIC,24129,20183,1.19,1.92,MI ,cis.beta.ocimene
17-Nov,8A,3,6.278,6.245,6.347,TIC,981108,646581,1.51,78.04,MI ,trans.beta.ocimene
17-Nov,8A,4,6.791,6.762,6.869,TIC,104206,57785,1.8,8.29,MI ,acetoin
17-Nov,8A,6,9.501,9.479,9.522,TIC,17697,11079,1.59,1.41,MI ,bergamotene
17-Nov,8A,7,10.289,10.257,10.315,TIC,49710,30399,1.63,3.95,MI ,alpha.humulene
17-Nov,8B,1,3.525,3.509,3.553,TIC,10684,8182,1.3,0.05,MI ,alpha.pinene
17-Nov,8B,2,5.266,5.225,5.288,TIC,152033,87833,1.73,0.7,MI ,beta.myrcene
17-Nov,8B,3,5.672,5.651,5.708,TIC,53393,35173,1.51,0.24,MI ,limonene
17-Nov,8B,4,6.089,6.052,6.148,TIC,483086,287056,1.68,2.21,MI ,cis.beta.ocimene
17-Nov,8B,5,6.288,6.25,6.342,TIC,16230666,11180130,1.45,74.4,MI ,trans.beta.ocimene
17-Nov,8B,6,6.788,6.762,6.82,TIC,75408,45752,1.64,0.35,MI ,acetoin
17-Nov,8B,7,6.86,6.825,6.912,TIC,547397,358251,1.52,2.51,MI ,cis.DMNT
17-Nov,8B,8,7.018,6.965,7.081,TIC,1755947,1230282,1.42,8.05,MI ,cis.3.hexenyl.acetate
17-Nov,8B,10,7.706,7.656,7.743,TIC,424053,309078,1.37,1.94,MI ,cis.3.hexen.1.ol
17-Nov,8B,11,8.684,8.667,8.705,TIC,111654,84588,1.31,0.51,MI ,myroxide
17-Nov,8B,12,9.492,9.474,9.517,TIC,31400,23064,1.36,0.14,MI ,bergamotene
17-Nov,8B,13,9.656,9.623,9.691,TIC,373438,253395,1.47,1.71,MI ,trans.beta.caryophyllene
17-Nov,8B,14,10.125,10.117,10.136,TIC,16934,21620,0.78,0.08,MI ,alloaromadendrene
17-Nov,8B,15,10.282,10.257,10.305,TIC,104184,77742,1.34,0.48,MI ,alpha.humulene
17-Nov,8B,16,10.428,10.387,10.46,TIC,824034,522133,1.57,3.78,MI ,beta.cadinene
17-Nov,8B,17,10.538,10.523,10.542,TIC,13588,15794,0.86,0.06,MI ,unknown.C15H24.(1)
17-Nov,8B,18,10.659,10.61,10.692,TIC,173713,96283,1.8,0.8,MI ,beta.longipinene
17-Nov,8B,19,11.032,11.006,11.059,TIC,146882,99843,1.47,0.67,MI ,unknown.C15H24.3
17-Nov,8B,20,14.372,14.355,14.413,TIC,245973,171017,1.43,1.13,MI ,intermedeol
17-Nov,9A,1,3.539,3.471,3.659,TIC,17105131,8919903,1.91,12.12,MI ,alpha.pinene
17-Nov,9A,2,4.535,4.495,4.636,TIC,1521480,477626,3.18,1.08,MI ,beta.pinene
17-Nov,9A,3,4.736,4.694,4.8,TIC,262550,121228,2.16,0.19,MI ,sabinene
17-Nov,9A,4,5.271,5.225,5.346,TIC,1714722,942830,1.81,1.21,MI ,beta.myrcene
17-Nov,9A,5,5.445,5.404,5.506,TIC,486094,266733,1.82,0.34,MI ,alpha.terpinene
17-Nov,9A,6,5.677,5.641,5.713,TIC,1149778,648522,1.77,0.81,MI ,limonene
17-Nov,9A,7,5.786,5.752,5.873,TIC,305176,146757,2.07,0.22,MI ,beta.phellandrene
17-Nov,9A,8,6.093,6.061,6.124,TIC,703524,428444,1.64,0.5,MI ,cis.beta.ocimene
17-Nov,9A,9,6.215,6.187,6.24,TIC,775504,455350,1.7,0.55,MI ,gamma.terpinene
17-Nov,9A,10,6.304,6.25,6.361,TIC,36732060,22142205,1.65,26.02,MI ,trans.beta.ocimene
17-Nov,9A,11,6.51,6.492,6.525,TIC,173236,115746,1.49,0.12,MI ,para.cymene
17-Nov,9A,12,6.627,6.598,6.661,TIC,167740,115377,1.45,0.12,MI ,alpha.terpinolene
17-Nov,9A,13,6.796,6.767,6.815,TIC,49592,34277,1.44,0.04,MI ,acetoin
17-Nov,9A,14,6.87,6.854,6.902,TIC,110064,68240,1.61,0.08,MI ,cis.DMNT
17-Nov,9A,15,7.054,6.985,7.163,TIC,76862241,36998645,2.07,54.45,MI ,cis.3.hexenyl.acetate
17-Nov,9A,17,7.71,7.647,7.743,TIC,1336462,940171,1.42,0.95,MI ,cis.3.hexen.1.ol
17-Nov,9A,18,7.916,7.898,7.942,TIC,62131,47508,1.3,0.04,MI ,trans.2.hexen.1.ol
17-Nov,9A,19,8.686,8.676,8.705,TIC,20753,16900,1.22,0.01,MI ,myroxide
17-Nov,9A,20,9.17,9.135,9.193,TIC,109187,83650,1.3,0.08,MI ,linalool
17-Nov,9A,21,9.249,9.222,9.29,TIC,152084,98785,1.53,0.11,MI ,sabine.hydrate
17-Nov,9A,22,9.658,9.633,9.696,TIC,362970,259602,1.39,0.26,MI ,trans.beta.caryophyllene
17-Nov,9A,23,9.724,9.696,9.749,TIC,277307,197832,1.4,0.2,MI ,terpinene.4.ol
17-Nov,9A,24,10.071,10.054,10.097,TIC,58602,48203,1.21,0.04,MI ,alloaromadendrene
17-Nov,9A,25,10.279,10.252,10.3,TIC,61115,45311,1.34,0.04,MI ,alpha.humulene
17-Nov,9A,26,10.399,10.392,10.411,TIC,8509,11688,0.71,0.01,MI ,beta.cadinene
17-Nov,9A,27,10.501,10.469,10.518,TIC,41104,32460,1.26,0.03,MI ,alpha.terpineol
17-Nov,9A,28,10.598,10.571,10.639,TIC,254520,152328,1.67,0.18,MI ,germacrene.D
17-Nov,9A,29,10.686,10.663,10.701,TIC,48798,33146,1.47,0.03,MI ,unknown.C15H24.2
17-Nov,9A,30,10.797,10.779,10.817,TIC,28280,21513,1.31,0.02,MI ,trans.trans.alpha.farnesene
17-Nov,9A,31,10.936,10.914,10.962,TIC,130414,95568,1.36,0.09,MI ,gamma.cadinene
17-Nov,9A,32,10.98,10.962,10.996,TIC,21299,20871,1.02,0.02,MI ,unknown.C15H24.3
17-Nov,9A,33,11.229,11.209,11.248,TIC,4235,38924,0.1,0,MI ,methyl.salicylate
17-Nov,9B,1,3.529,3.524,3.606,TIC,372334,353302,1.05,5,MI ,alpha.pinene
17-Nov,9B,2,4.511,4.486,4.592,TIC,55413,19568,2.83,0.74,MI ,beta.pinene
17-Nov,9B,3,4.723,4.713,4.756,TIC,11942,7623,1.56,0.16,MI ,sabinene
17-Nov,9B,4,5.263,5.225,5.293,TIC,48008,26815,1.79,0.64,MI ,beta.myrcene
17-Nov,9B,5,5.669,5.646,5.708,TIC,19452,10577,1.83,0.26,MI ,limonene
17-Nov,9B,6,6.083,6.057,6.124,TIC,126151,72798,1.73,1.69,MI ,cis.beta.ocimene
17-Nov,9B,7,6.203,6.177,6.226,TIC,11935,8733,1.36,0.16,MI ,gamma.terpinene
17-Nov,9B,8,6.275,6.226,6.356,TIC,5642667,3626639,1.55,75.77,MI ,trans.beta.ocimene
17-Nov,9B,9,6.786,6.757,6.801,TIC,98475,65730,1.49,1.32,MI ,acetoin
17-Nov,9B,10,7.012,6.975,7.047,TIC,125851,94374,1.33,1.69,MI ,cis.3.hexenyl.acetate
17-Nov,9B,11,7.34,7.313,7.357,TIC,33504,22144,1.51,0.45,MI ,1.hexanol
17-Nov,9B,12,7.701,7.666,7.719,TIC,30279,21957,1.37,0.41,MI ,cis.3.hexen.1.ol
17-Nov,9B,13,7.905,7.888,7.937,TIC,75620,49679,1.52,1.02,MI ,trans.2.hexen.1.ol
17-Nov,9B,14,8.681,8.667,8.686,TIC,41112,50170,0.81,0.55,MI ,myroxide
17-Nov,9B,15,9.651,9.619,9.696,TIC,249992,169075,1.47,3.36,MI ,trans.beta.caryophyllene
17-Nov,9B,16,9.719,9.691,9.739,TIC,46209,39518,1.16,0.62,MI ,terpinene.4.ol
17-Nov,9B,17,10.063,10.039,10.088,TIC,51024,39835,1.28,0.69,MI ,alloaromadendrene
17-Nov,9B,18,10.268,10.237,10.305,TIC,50738,34782,1.45,0.68,MI ,alpha.humulene
17-Nov,9B,19,10.587,10.552,10.624,TIC,137203,93577,1.46,1.84,MI ,germacrene.D
17-Nov,9B,20,10.675,10.653,10.692,TIC,37339,26238,1.42,0.5,MI ,unknown.C15H24.2
17-Nov,9B,21,10.928,10.904,10.953,TIC,155158,109575,1.41,2.08,MI ,gamma.cadinene
17-Nov,9B,22,10.97,10.953,10.991,TIC,27028,21242,1.27,0.36,MI ,unknown.C15H24.3
17-Nov,VEG 1,1,3.489,3.456,3.534,TIC,156332,93744,1.66,2.1,MI ,alpha.pinene
17-Nov,VEG 1,2,4.449,4.433,4.466,TIC,8426,6220,1.35,0.11,MI ,beta.pinene
17-Nov,VEG 1,3,5.24,5.216,5.245,TIC,3319,4444,0.74,0.04,MI ,beta.myrcene
17-Nov,VEG 1,4,5.642,5.617,5.66,TIC,32866,23870,1.37,0.44,MI ,limonene
17-Nov,VEG 1,5,5.997,5.974,6.023,TIC,116670,74360,1.56,1.57,MI ,trans.2.hexenal
17-Nov,VEG 1,6,6.246,6.231,6.264,TIC,34120,25715,1.32,0.46,MI ,trans.beta.ocimene
17-Nov,VEG 1,7,6.993,6.956,7.038,TIC,6508830,4646787,1.4,87.37,MI ,cis.3.hexenyl.acetate
17-Nov,VEG 1,9,7.356,7.328,7.376,TIC,19045,17270,1.1,0.26,MI ,1.hexanol
17-Nov,VEG 1,10,7.681,7.642,7.714,TIC,441167,310040,1.42,5.92,MI ,cis.3.hexen.1.ol
17-Nov,VEG 1,11,10.465,10.46,10.469,TIC,1610,4397,0.36,0.02,MI ,alpha.terpineol
17-Nov,VEG 2,1,6.86,6.835,6.878,TIC,64388,47454,1.35,3.07,MI ,cis.DMNT
17-Nov,VEG 2,2,7.019,6.985,7.057,TIC,1773316,1241149,1.42,84.58,MI ,cis.3.hexenyl.acetate
17-Nov,VEG 2,4,7.707,7.681,7.734,TIC,115829,81487,1.42,5.52,MI ,cis.3.hexen.1.ol
17-Nov,VEG 2,5,7.918,7.898,7.932,TIC,17058,16573,1.02,0.81,MI ,trans.2.hexen.1.ol
19-Nov,VEG 3,1,3.527,3.509,3.548,TIC,7956,7778,1.02,1.25,MI ,alpha.pinene
19-Nov,VEG 3,2,6.79,6.762,6.835,TIC,180623,108933,1.65,28.35,MI ,acetoin
19-Nov,VEG 3,3,6.856,6.84,6.907,TIC,56142,34281,1.63,8.81,MI ,cis.DMNT
19-Nov,VEG 3,4,7.019,6.97,7.086,TIC,177414,108435,1.63,27.85,MI ,cis.3.hexenyl.acetate
19-Nov,VEG 3,6,7.707,7.661,7.743,TIC,68368,41803,1.63,10.73,MI ,cis.3.hexen.1.ol
22-Jan,VEG 4,1,3.476,3.461,3.5,TIC,14325,10521,1.36,0.21,MI ,alpha.pinene
22-Jan,VEG 4,2,4.418,4.399,4.428,TIC,7837,6532,1.19,0.11,MI ,beta.pinene
22-Jan,VEG 4,3,5.178,5.167,5.196,TIC,5936,6110,0.97,0.09,MI ,beta.myrcene
22-Jan,VEG 4,5,6,5.984,6.047,TIC,16296,10588,1.53,0.23,MI ,cis.beta.ocimene
22-Jan,VEG 4,6,6.215,6.192,6.25,TIC,37818,24243,1.55,0.54,MI ,trans.beta.ocimene
22-Jan,VEG 4,7,6.808,6.786,6.835,TIC,345637,223470,1.54,4.97,MI ,cis.DMNT
22-Jan,VEG 4,8,6.959,6.922,7.009,TIC,5040586,3373786,1.49,72.53,MI ,cis.3.hexenyl.acetate
22-Jan,VEG 4,10,7.645,7.598,7.69,TIC,914123,576046,1.58,13.15,MI ,cis.3.hexen.1.ol
22-Jan,VEG 4,11,9.591,9.57,9.619,TIC,75131,46075,1.63,1.08,MI ,bergamotene
22-Jan,VEG 4,12,10.433,10.416,10.445,TIC,21767,21363,1.01,0.31,MI ,alpha.terpineol
22-Jan,VEG 4,13,10.749,10.73,10.769,TIC,11113,10992,1.01,0.16,MI ,trans.trans.alpha.farnesene