Site,Species,Sample Type,Sample ID,Total,Total.mono,Total.sesqui,Total.arom,Total.glv,alpha.pinene,beta.pinene,beta.myrcene,limonene,gamma.terpinene,cis.3.hexenyl.acetate,cis.3.hexen.1.ol,trans.beta.caryophyllene,alloaromadendrene,alpha.humulene,beta.cadinene,germacrene.D,beta.longipinene,unknown.C15H24.2,gamma.cadinene,unknown.C15H24.3,sabinene,alpha.terpinene,beta.phellandrene,trans.beta.ocimene,para.cymene,alpha.terpinolene,terpinene.4.ol,methyl.salicylate,linalool,cis.beta.ocimene,myroxide,bergamotene,veratrole,beta.sesquiphellandrene,cis.DMNT,1.hexanol,benzyl.alcohol,intermedeol,unknown.C15H24.(1),alpha.terpineol,2.6.dimethyl.1.3.5.7.octatetraene.(trans),6.Methyl.5.heptene.2.one,trans.2.hexen.1.ol,sabine.hydrate,trans.trans.alpha.farnesene
SC,Cyl,Not Petals,13B,22,8,9,2,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
MHG,Cyl,Not Petals,19B,15,6,6,1,2,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
MHG,Cyl,Not Petals,20A,16,7,6,1,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
SC,Cyl,Not Petals,23B,16,7,6,1,2,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
SC,Cyl,Not Petals,5A,15,5,7,1,2,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
MHG,Cyl,Not Petals,8B,18,7,9,0,2,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
SC,Cyl,Petals,13A,6,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MHG,Cyl,Petals,19A,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHG,Cyl,Petals,20B,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Cyl,Petals,23A,7,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
SC,Cyl,Petals,5B,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MHG,Cyl,Petals,8A,5,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CB323,Ung,Not Petals,10B,24,12,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Ung,Not Petals,11A,16,11,3,0,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB323,Ung,Not Petals,15B,20,10,6,1,3,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
CB323,Ung,Not Petals,1B,17,8,6,0,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
SC,Ung,Not Petals,7A,7,4,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Ung,Not Petals,9A,30,17,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
CB323,Ung,Petals,10A,16,5,9,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Ung,Petals,11B,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB323,Ung,Petals,15A,5,2,1,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB323,Ung,Petals,1A,11,4,6,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Ung,Petals,7B,4,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Ung,Petals,9B,21,10,7,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0