Compound,cor.cap1,P.cap1,sig.cap1,cor.cap2,P.cap2,sig.cap2,Transformation
1.hexanol,0.104460415,1.38E-01,No,-0.061370527,4.86E-01,No,NA
2.6.dimethyl.1.3.5.7.octatetraene.trans,0.359041277,7.39E-09,Yes,0.329135477,4.12E-07,Yes,log
2.amino.phenyl.ethanone,0.48070427,4.60E-16,Yes,0.260178269,1.01E-04,Yes,sqrt
2.phenyl.ethanol,0.123324615,7.99E-02,No,-0.036977753,6.85E-01,No,NA
6.methyl.5.hepten.2.one,-0.142414741,4.15E-02,No,-0.062367313,4.86E-01,No,NA
alloaromadendrene,0.003457337,9.55E-01,No,0.126506793,1.20E-01,No,NA
alpha.bergamotene,-0.189674274,4.71E-03,Yes,-0.001239576,9.99E-01,No,log
alpha.humulene,-0.056087681,4.40E-01,No,-0.013775159,9.24E-01,No,NA
alpha.pinene,0.201585456,2.75E-03,Yes,-0.251769352,1.54E-04,Yes,log
alpha.terpinene,0.028429003,6.93E-01,No,-0.115347912,1.37E-01,No,NA
alpha.terpineol,0.112129247,1.11E-01,No,-0.061819866,4.86E-01,No,NA
alpha.terpinolene,0.103247858,1.40E-01,No,-0.116241784,1.37E-01,No,NA
benzyl.acetate,0.062800736,3.82E-01,No,0.009381408,9.48E-01,No,NA
benzyl.alcohol,-0.167869978,1.46E-02,No,-0.046911858,6.29E-01,No,NA
beta.cadinene,-0.641462476,2.87E-31,Yes,0.022341344,8.39E-01,No,untransformed
beta.farnesene,0.089333498,2.12E-01,No,0.043151651,6.38E-01,No,NA
beta.longipinene,-0.375825588,1.18E-09,Yes,0.030699711,7.52E-01,No,sqrt
beta.myrcene,0.286067377,6.79E-06,Yes,-0.029720541,7.52E-01,No,sqrt
beta.phellandrene,0.034370336,6.32E-01,No,-0.122368622,1.20E-01,No,NA
beta.pinene,0.197965346,3.22E-03,Yes,-0.257990721,1.06E-04,Yes,log
borneol,0.356337957,9.02E-09,Yes,0.313059762,1.62E-06,Yes,sqrt
caryophyllene.oxide,-0.039811815,5.79E-01,No,0.044738571,6.38E-01,No,NA
cinnamic.alcohol,-0.078017333,2.71E-01,No,0.062583544,4.86E-01,No,NA
cis.3.hexen.1.ol,0.157116206,2.38E-02,No,-0.274991093,3.52E-05,Yes,log
cis.3.hexenyl.acetate,0.376689371,1.18E-09,Yes,-0.349460909,6.44E-08,Yes,log
cis.beta.ocimene,0.528221792,1.51E-19,Yes,0.443606996,5.16E-13,Yes,sqrt
cis.jasmone,0.05317936,4.61E-01,No,-0.138079914,7.85E-02,No,NA
DMNT,-0.041395704,5.72E-01,No,9.23E-05,9.99E-01,No,NA
gamma.cadinene,0.228045171,5.30E-04,Yes,0.079212892,4.04E-01,No,sqrt
gamma.terpinene,0.191651347,4.42E-03,Yes,-0.231054634,6.27E-04,Yes,log
geraniol,-0.071722728,3.09E-01,No,0.073885209,4.52E-01,No,NA
germacrene.D,0.088704561,2.12E-01,No,-0.069054895,4.81E-01,No,NA
intermedeol,-0.645520331,1.73E-31,Yes,-0.014829172,9.24E-01,No,sqrt
limonene,0.022194213,7.44E-01,No,-0.12345818,1.20E-01,No,NA
linalool,0.077282257,2.71E-01,No,-0.124915414,1.20E-01,No,NA
methyl.nicotinate,0.295273016,3.27E-06,Yes,0.154577428,3.95E-02,No,log
methyl.salicylate,0.042715617,5.69E-01,No,0.102987818,1.97E-01,No,NA
myroxide,0.126347686,7.33E-02,No,0.22853068,6.83E-04,Yes,log
para.cymene,0.153954661,2.65E-02,No,-0.108891962,1.67E-01,No,NA
patchoulane,-0.087954506,2.12E-01,No,-0.042558883,6.38E-01,No,NA
sabinene,0.138225815,4.80E-02,No,-0.182256475,1.10E-02,No,NA
sabinene.hydrate,0.108907754,1.21E-01,No,-0.27485395,3.52E-05,Yes,log
terpinen.4.ol,0.118346593,9.16E-02,No,-0.168962017,2.07E-02,No,NA
trans.2.hexen.1.ol,-0.083878731,2.34E-01,No,-0.048628623,6.22E-01,No,NA
trans.beta.caryophyllene,-0.025930659,7.11E-01,No,-0.053100111,5.77E-01,No,NA
trans.beta.ocimene,0.526140402,1.70E-19,Yes,0.457287508,1.26E-13,Yes,sqrt
trans.cinnamic.aldehyde,-0.295202084,3.27E-06,Yes,0.041572206,6.38E-01,No,sqrt
trans.DMNT,0.118100964,9.16E-02,No,0.067477292,4.85E-01,No,NA
trans.trans.alpha.farnesene,0.143578342,4.11E-02,No,0.002870778,9.99E-01,No,NA
unknown.C15H24,0.13155336,6.14E-02,No,-0.005775333,9.79E-01,No,NA
unknown.C15H24.2,-0.332593329,1.05E-07,Yes,0.070594079,4.78E-01,No,sqrt
unknown.C15H24.3,-0.515653288,1.04E-18,Yes,0.012232393,9.27E-01,No,sqrt
veratrole,-0.272329265,2.02E-05,Yes,0.063609072,4.86E-01,No,sqrt
verbenone,-0.012175082,8.58E-01,No,-0.117465665,1.37E-01,No,NA